image,caption
schoolshooter1.jpg,A person is holding a magazine from a gun .
schoolshooter1.jpg,Top-down view of a person sitting while holding a magazine on their lap .
schoolshooter1.jpg,A person is holding a gun magazine on their lap .
schoolshooter1.jpg,An overhead perspective of a person wearing dark clothing with a magazine for a gun in their hand . 
schoolshooter1.jpg,A person is sitting with a magazine from a gun on their lap . 
schoolshooter2.jpg,Two guns are placed on a carpet .
schoolshooter2.jpg,There are two big rifles placed next to each other on a multi-colored carpet .
schoolshooter2.jpg,Two rifles are on the floor . 
schoolshooter2.jpg,Top-down view of two guns placed on a carpet .
schoolshooter2.jpg,Black rifles are on a carpet floor .
schoolshooter3.jpg,A guy is holding a gun near his face .
schoolshooter3.jpg,A teenager is showing his pistol in front of a white wall .
schoolshooter3.jpg,A boy is holding up a gun close to his face .
schoolshooter3.jpg,A teenager is taking a picture of himself while holding a firearm.
schoolshooter3.jpg,A boy is covering his face with a pistol . 
schoolshooter4.jpg,A target painted on a red frame with bullet holes .
schoolshooter4.jpg,There is a wooden frame with a target painted on it and there are bullet holes .
schoolshooter4.jpg,A frame is covered in bullet holes with a target painted on it .
schoolshooter4.jpg,Bullet holes are on a wooden frame that has a target painted in the center .
schoolshooter4.jpg,A red picture frame has many bullet holes and in the middle there is a target painted on it . 
schoolshooter5.jpg,Several guns and a bulletproof vest are placed on a bed . 
schoolshooter5.jpg,There is a messy bed with sheets in a pile and beside it are many guns and a bulletproof vest .
schoolshooter5.jpg,There are many firearms and a bulletproof vests on a bed . 
schoolshooter5.jpg,Lots of guns are placed closed to each other near a pile of bed sheets on a bed . 
schoolshooter5.jpg,There are many guns placed on a bed near a vest and sheets .
schoolshooter6.jpg,A person is holding three knives between their fingers .
schoolshooter6.jpg,A person has their face covereed while holding several knives in their hand .
schoolshooter6.jpg,There are knives being held by a person with their face covered .
schoolshooter6.jpg,There is a person wearing a bandana and hat to cover their face while holding knives in their hand .
schoolshooter6.jpg,A person is holding three knives and their face is covered .
schoolshooter7.jpg,A person wearing a hat and a bandana is showing the knife they are holding .
schoolshooter7.jpg,There is a person holding a knife in front of their face .
schoolshooter7.jpg,A person is wearing a bandana on their face while they hold a knife in their hand . 
schoolshooter7.jpg,A person is showing the knife they are holding while they cover their face .
schoolshooter7.jpg,There is a person with their face covered holding a knife .
schoolshooter8.jpg,A person is showing a gun on a blue bed near a white basket .
schoolshooter8.jpg,A hand is holding a gun beside a gray blanket in a bedroom .
schoolshooter8.jpg,A man is holding a firearm in a room with boxes and a white basket .
schoolshooter8.jpg,A boy has a gun in his hand on top of a blue bed beside a brown blanket .
schoolshooter8.jpg,A person is showing their gun in a bedroom with boxes and a white door .
schoolshooter9.jpg,A person is holding a rifle in front of a closet containing guns .
schoolshooter9.jpg,There is a person 's hand holding a gun and behind it is a white basket and a closet with other guns .
schoolshooter9.jpg,There is a person holding a rifle and behind it is a closet with other firearms .
schoolshooter9.jpg,A person is holding a firearm in their hand while behind it is an open closet with several guns in it .
schoolshooter9.jpg,There is a closet with guns inside and in front of it is a person 's hand holding a gun . 
schoolshooter10.jpg,A gun is being aimed to a window that shows a neighborhood . 
schoolshooter10.jpg,There is a gun being pointed to a sidewalk .
schoolshooter10.jpg,The view of a gun being pointed to a neighborhood .
schoolshooter10.jpg,There is a gun aimed outside shwoing a neighborhood  .
schoolshooter10.jpg,A gun is being pointed and it is aiming for the sidewalk .
schoolshooter11.jpg,There is a hand holding a box that has bullets .
schoolshooter11.jpg,A hand is holding a box of ammunition .
schoolshooter11.jpg,A person 's hand is holding a box that shows to be of ammunition .
