image,caption
1000268201_693b08cb0e.jpg,A child in a pink dress is climbing up a set of stairs in an entry way .
1000268201_693b08cb0e.jpg,A girl going into a wooden building .
1000268201_693b08cb0e.jpg,A little girl climbing into a wooden playhouse .
1000268201_693b08cb0e.jpg,A little girl climbing the stairs to her playhouse .
1000268201_693b08cb0e.jpg,A little girl in a pink dress going into a wooden cabin .
1001773457_577c3a7d70.jpg,A black dog and a spotted dog are fighting
1001773457_577c3a7d70.jpg,A black dog and a tri-colored dog playing with each other on the road .
1001773457_577c3a7d70.jpg,A black dog and a white dog with brown spots are staring at each other in the street .
1001773457_577c3a7d70.jpg,Two dogs of different breeds looking at each other on the road .
1001773457_577c3a7d70.jpg,Two dogs on pavement moving toward each other .
1002674143_1b742ab4b8.jpg,A little girl covered in paint sits in front of a painted rainbow with her hands in a bowl .
1002674143_1b742ab4b8.jpg,A little girl is sitting in front of a large painted rainbow .
1002674143_1b742ab4b8.jpg,A small girl in the grass plays with fingerpaints in front of a white canvas with a rainbow on it .
1002674143_1b742ab4b8.jpg,There is a girl with pigtails sitting in front of a rainbow painting .
1002674143_1b742ab4b8.jpg,Young girl with pigtails painting outside in the grass .
1003163366_44323f5815.jpg,A man lays on a bench while his dog sits by him .
1003163366_44323f5815.jpg,A man lays on the bench to which a white dog is also tied .
1003163366_44323f5815.jpg,a man sleeping on a bench outside with a white and black dog sitting next to him .
1003163366_44323f5815.jpg,A shirtless man lies on a park bench with his dog .
1003163366_44323f5815.jpg,man laying on bench holding leash of dog sitting on ground
1007129816_e794419615.jpg,A man in an orange hat starring at something .
1007129816_e794419615.jpg,A man wears an orange hat and glasses .
1007129816_e794419615.jpg,A man with gauges and glasses is wearing a Blitz hat .
1007129816_e794419615.jpg,A man with glasses is wearing a beer can crocheted hat .
1007129816_e794419615.jpg,The man with pierced ears is wearing glasses and an orange hat .
1007320043_627395c3d8.jpg,A child playing on a rope net .
1007320043_627395c3d8.jpg,A little girl climbing on red roping .
1007320043_627395c3d8.jpg,A little girl in pink climbs a rope bridge at the park .
1007320043_627395c3d8.jpg,A small child grips onto the red ropes at the playground .
1007320043_627395c3d8.jpg,The small child climbs on a red ropes on a playground .
1009434119_febe49276a.jpg,A black and white dog is running in a grassy garden surrounded by a white fence .
1009434119_febe49276a.jpg,A black and white dog is running through the grass .
1009434119_febe49276a.jpg,A Boston terrier is running in the grass .
1009434119_febe49276a.jpg,A Boston Terrier is running on lush green grass in front of a white fence .
1009434119_febe49276a.jpg,A dog runs on the green grass near a wooden fence .
1012212859_01547e3f17.jpg,"A dog shakes its head near the shore , a red ball next to it ."
1012212859_01547e3f17.jpg,A white dog shakes on the edge of a beach with an orange ball .
1012212859_01547e3f17.jpg,"Dog with orange ball at feet , stands on shore shaking off water"
1012212859_01547e3f17.jpg,White dog playing with a red ball on the shore near the water .
1012212859_01547e3f17.jpg,White dog with brown ears standing near water with head turned to one side .
1015118661_980735411b.jpg,A boy smiles in front of a stony wall in a city .
1015118661_980735411b.jpg,A little boy is standing on the street while a man in overalls is working on a stone wall .
1015118661_980735411b.jpg,A young boy runs aross the street .
1015118661_980735411b.jpg,A young child is walking on a stone paved street with a metal pole and a man behind him .
1015118661_980735411b.jpg,Smiling boy in white shirt and blue jeans in front of rock wall with man in overalls behind him .
1015584366_dfcec3c85a.jpg,A black dog leaps over a log .
1015584366_dfcec3c85a.jpg,A grey dog is leaping over a fallen tree .
1015584366_dfcec3c85a.jpg,A large black dog leaps a fallen log .
1015584366_dfcec3c85a.jpg,A mottled black and grey dog in a blue collar jumping over a fallen tree .
1015584366_dfcec3c85a.jpg,The black dog jumped the tree stump .
101654506_8eb26cfb60.jpg,A brown and white dog is running through the snow .
101654506_8eb26cfb60.jpg,A dog is running in the snow
101654506_8eb26cfb60.jpg,A dog running through snow .
101654506_8eb26cfb60.jpg,a white and brown dog is running through a snow covered field .
101654506_8eb26cfb60.jpg,The white and brown dog is running over the surface of the snow .
101669240_b2d3e7f17b.jpg,A man in a hat is displaying pictures next to a skier in a blue hat .
101669240_b2d3e7f17b.jpg,A man skis past another man displaying paintings in the snow .
101669240_b2d3e7f17b.jpg,A person wearing skis looking at framed pictures set up in the snow .
101669240_b2d3e7f17b.jpg,A skier looks at framed pictures in the snow next to trees .
101669240_b2d3e7f17b.jpg,Man on skis looking at artwork for sale in the snow
1016887272_03199f49c4.jpg,A collage of one person climbing a cliff .
1016887272_03199f49c4.jpg,A group of people are rock climbing on a rock climbing wall .
1016887272_03199f49c4.jpg,A group of people climbing a rock while one man belays
1016887272_03199f49c4.jpg,Seven climbers are ascending a rock face whilst another man stands holding the rope .
1016887272_03199f49c4.jpg,Several climbers in a row are climbing the rock while the man in red watches and holds the line .
1019077836_6fc9b15408.jpg,A brown dog chases the water from a sprinkler on a lawn .
1019077836_6fc9b15408.jpg,a brown dog plays with the hose .
1019077836_6fc9b15408.jpg,A brown dog running on a lawn near a garden hose
1019077836_6fc9b15408.jpg,A dog is playing with a hose .
1019077836_6fc9b15408.jpg,Large brown dog running away from the sprinkler in the grass .
1019604187_d087bf9a5f.jpg,A dog prepares to catch a thrown object in a field with nearby cars .
1019604187_d087bf9a5f.jpg,A white dog is about to catch a yellow ball in its mouth .
1019604187_d087bf9a5f.jpg,A white dog is about to catch a yellow dog toy .
1019604187_d087bf9a5f.jpg,A white dog is ready to catch a yellow ball flying through the air .
1019604187_d087bf9a5f.jpg,A white dog running after a yellow ball
1020651753_06077ec457.jpg,a black and white dog jumping in the air to get a toy .
1020651753_06077ec457.jpg,A black and white dog jumps up towards a yellow toy .
1020651753_06077ec457.jpg,A dog leaps to catch a ball in a field .
1020651753_06077ec457.jpg,A white dog is trying to catch a ball in midair over a grassy field .
1020651753_06077ec457.jpg,The white dog is playing in a green field with a yellow toy .
1022454332_6af2c1449a.jpg,A child and a woman are at waters edge in a big city .
1022454332_6af2c1449a.jpg,a large lake with a lone duck swimming in it with several people around the edge of it .
1022454332_6af2c1449a.jpg,A little boy at a lake watching a duck .
1022454332_6af2c1449a.jpg,A young boy waves his hand at the duck in the water surrounded by a green park .
1022454332_6af2c1449a.jpg,"Two people are at the edge of a lake , facing the water and the city skyline ."
1022454428_b6b660a67b.jpg,"A couple and an infant , being held by the male , sitting next to a pond with a near by stroller ."
1022454428_b6b660a67b.jpg,A couple sit on the grass with a baby and stroller .
1022454428_b6b660a67b.jpg,A couple with their newborn baby sitting under a tree facing a lake .
1022454428_b6b660a67b.jpg,A man and woman care for an infant along the side of a body of water .
1022454428_b6b660a67b.jpg,Couple with a baby sit outdoors next to their stroller .
1022975728_75515238d8.jpg,A black dog running in the surf .
1022975728_75515238d8.jpg,A black lab with tags frolicks in the water .
1022975728_75515238d8.jpg,A dog splashes in the water
1022975728_75515238d8.jpg,The black dog runs through the water .
1022975728_75515238d8.jpg,This is a black dog splashing in the water .
102351840_323e3de834.jpg,A man drilling a hole in the ice .
102351840_323e3de834.jpg,A man is drilling through the frozen ice of a pond .
102351840_323e3de834.jpg,A person in the snow drilling a hole in the ice .
102351840_323e3de834.jpg,A person standing on a frozen lake .
102351840_323e3de834.jpg,Two men are ice fishing .
1024138940_f1fefbdce1.jpg,Two different breeds of brown and white dogs play on the beach .
1024138940_f1fefbdce1.jpg,Two dogs are making a turn on a soft sand beach .
1024138940_f1fefbdce1.jpg,Two dogs playing in the sand at the beach .
1024138940_f1fefbdce1.jpg,Two dogs playing together on a beach .
1024138940_f1fefbdce1.jpg,Two large tan dogs play along a sandy beach .
102455176_5f8ead62d5.jpg,A man uses ice picks and crampons to scale ice .
102455176_5f8ead62d5.jpg,an ice climber in a blue jacket and black pants is scaling a frozen ice wall .
102455176_5f8ead62d5.jpg,An ice climber scaling a frozen waterfall .
102455176_5f8ead62d5.jpg,A person in blue and red ice climbing with two picks .
102455176_5f8ead62d5.jpg,Climber climbing an ice wall
1026685415_0431cbf574.jpg,A black dog carries a green toy in his mouth as he walks through the grass .
1026685415_0431cbf574.jpg,A black dog carrying something through the grass .
1026685415_0431cbf574.jpg,A black dog has a blue toy in its mouth .
1026685415_0431cbf574.jpg,A dog in grass with a blue item in his mouth .
1026685415_0431cbf574.jpg,A wet black dog is carrying a green toy through the grass .
1028205764_7e8df9a2ea.jpg,A man and a baby are in a yellow kayak on water .
1028205764_7e8df9a2ea.jpg,A man and a little boy in blue life jackets are rowing a yellow canoe .
1028205764_7e8df9a2ea.jpg,A man and child kayak through gentle waters .
1028205764_7e8df9a2ea.jpg,A man and young boy ride in a yellow kayak .
1028205764_7e8df9a2ea.jpg,Man and child in yellow kayak
1030985833_b0902ea560.jpg,A black dog and a brown dog are jumping up to catch a red toy .
1030985833_b0902ea560.jpg,A black dog and a brown dog play with a red toy on a courtyard .
1030985833_b0902ea560.jpg,A brown and black lab are outside and the black lab is catching a toy in its mouth .
1030985833_b0902ea560.jpg,Black dog snaps at red and black object as brown dog lunges .
1030985833_b0902ea560.jpg,The Chocolate Lab jumps too late to get the toy as the Black Lab captures it in the driveway .
103106960_e8a41d64f8.jpg,A boy with a stick kneeling in front of a goalie net
103106960_e8a41d64f8.jpg,A child in a red jacket playing street hockey guarding a goal .
103106960_e8a41d64f8.jpg,A young kid playing the goalie in a hockey rink .
103106960_e8a41d64f8.jpg,A young male kneeling in front of a hockey goal with a hockey stick in his right hand .
103106960_e8a41d64f8.jpg,"Hockey goalie boy in red jacket crouches by goal , with stick ."
103195344_5d2dc613a3.jpg,A man in black is sitting next to a modern art structure in front of a glass building .
103195344_5d2dc613a3.jpg,A man sits and reads a newspaper by a sculpture outside of an office building .
103195344_5d2dc613a3.jpg,a man sits near a large statue .
103195344_5d2dc613a3.jpg,A man sitting in front of a metal sculpture in front of a building .
103195344_5d2dc613a3.jpg,The man with the backpack is sitting in a buildings courtyard in front of an art sculpture reading .
103205630_682ca7285b.jpg,A tent is being set up on the ice .
103205630_682ca7285b.jpg,Two men are about to enter an ice fishing tent on a snow covered lake .
103205630_682ca7285b.jpg,two men setting up a blue ice fishing hut on an iced over lake
103205630_682ca7285b.jpg,"Two men , standing on an ice , looking into something covered with a blue tarp ."
103205630_682ca7285b.jpg,Two people standing outside a blue tent structure on a snowy surface .
1032122270_ea6f0beedb.jpg,A woman crouches near three dogs in a field .
1032122270_ea6f0beedb.jpg,Three dogs are playing on grassy hill with a blue sky .
1032122270_ea6f0beedb.jpg,Three dogs are standing in the grass and a person is sitting next to them
1032122270_ea6f0beedb.jpg,Three dogs on a grassy hill
1032122270_ea6f0beedb.jpg,Three dogs stand in a grassy field while a person kneels nearby .
1032460886_4a598ed535.jpg,a man is standing in front of a skyscraper
1032460886_4a598ed535.jpg,A man stands in front of a skyscraper .
1032460886_4a598ed535.jpg,A man stands in front of a very tall building .
1032460886_4a598ed535.jpg,Behind the man in a red shirt stands a large skyscraper .
1032460886_4a598ed535.jpg,There is a skyscraper in the distance with a man walking in front of the camera .
1034276567_49bb87c51c.jpg,A boy bites hard into a treat while he sits outside .
1034276567_49bb87c51c.jpg,A child biting into a baked good .
1034276567_49bb87c51c.jpg,A small boy putting something in his mouth with both hands .
1034276567_49bb87c51c.jpg,The boy eats his food outside at the table .
1034276567_49bb87c51c.jpg,The boy is eating pizza over a tin dish .
104136873_5b5d41be75.jpg,People sit on the mountainside and check out the view .
104136873_5b5d41be75.jpg,Three people are on a hilltop overlooking a green valley .
104136873_5b5d41be75.jpg,Three people hang out on top of a big hill .
104136873_5b5d41be75.jpg,Three people overlook a green valley .
104136873_5b5d41be75.jpg,Three people rest on a ledge above the moutains .
1042020065_fb3d3ba5ba.jpg,A boy in a green shirt is looking down at many inflatable boats .
1042020065_fb3d3ba5ba.jpg,A boy in a green shirt watches kayakers .
1042020065_fb3d3ba5ba.jpg,A boy looks over a railing at the many boats and rafts below in the water .
1042020065_fb3d3ba5ba.jpg,A young boy overlooking a crowd of inflatable boats .
1042020065_fb3d3ba5ba.jpg,A young boy wearing a jersey looks down over a ledge at many boats in the water .
1042590306_95dea0916c.jpg,A man and woman pose for the camera while another man looks on .
1042590306_95dea0916c.jpg,A man is holding the hand of a woman up to his mouth in front of some buildings while another man looks on .
1042590306_95dea0916c.jpg,A multiracial couple posing for a picture
1042590306_95dea0916c.jpg,"Asian man and blond woman holding hands outdoors , man in background watches ."
1042590306_95dea0916c.jpg,Guy in blue shirt biting hand of girl in black striped jacket while another guy watches
1045521051_108ebc19be.jpg,A person eats takeout while watching a small television .
1045521051_108ebc19be.jpg,A person sits on the floor and eats in front of a television .
1045521051_108ebc19be.jpg,A television with a picture of a girl on it .
1045521051_108ebc19be.jpg,A young man sits on the floor by the television with a fast food meal in front of him .
1045521051_108ebc19be.jpg,Someone is laying in front of the TV eating food .
1048710776_bb5b0a5c7c.jpg,a couple of several people sitting on a ledge overlooking the beach
1048710776_bb5b0a5c7c.jpg,A group of people sit on a wall at the beach .
1048710776_bb5b0a5c7c.jpg,A group of teens sit on a wall by a beach .
1048710776_bb5b0a5c7c.jpg,Crowd of people at the beach .
1048710776_bb5b0a5c7c.jpg,Several young people sitting on a rail above a crowded beach .
1052358063_eae6744153.jpg,A boy takes a jump on his skateboard while another boy with a skateboard watches .
1052358063_eae6744153.jpg,A child is performing a skateboard trick while another child with a skateboard leans on a wall .
1052358063_eae6744153.jpg,A little boy skateboarder is doing a trick on his board while another young skateboarder watches .
1052358063_eae6744153.jpg,a young boy skateboarder jumping on a platform on a skateboard .
1052358063_eae6744153.jpg,Two skateboarders .
105342180_4d4a40b47f.jpg,"A girl paddling down a large river , as seen from behind her ."
105342180_4d4a40b47f.jpg,A woman kayaking down a river .
105342180_4d4a40b47f.jpg,A woman paddles a boat down a river .
105342180_4d4a40b47f.jpg,A woman with a paddle .
105342180_4d4a40b47f.jpg,A woman with a paddle sits in a boat on the water .
1053804096_ad278b25f1.jpg,A girl in pigtails splashes in the shallow water .
1053804096_ad278b25f1.jpg,A girls plays in the surf .
1053804096_ad278b25f1.jpg,a girl with pigtails is playing in the ocean by the beach .
1053804096_ad278b25f1.jpg,A girl with pigtails plays in the water .
1053804096_ad278b25f1.jpg,A young girl in pigtails plays in the water .
1055623002_8195a43714.jpg,A group of four children wearing pajamas have a pillow fight .
1055623002_8195a43714.jpg,A group of kids have a pillow-fight .
1055623002_8195a43714.jpg,A group of young children playing pillow fight on a bed .
1055623002_8195a43714.jpg,Children having a pillow fight .
1055623002_8195a43714.jpg,Four children are having a pillow fight .
1055753357_4fa3d8d693.jpg,Two constructions workers sit on a beam taking a break .
1055753357_4fa3d8d693.jpg,Two construction workers are sitting up on the side of a building .
1055753357_4fa3d8d693.jpg,Two construction workers sitting on an I-beam .
1055753357_4fa3d8d693.jpg,Two construction workers take a seat on a steel beam .
1055753357_4fa3d8d693.jpg,Two men take a break from construction .
1056249424_ef2a2e041c.jpg,The children are playing in the water .
1056249424_ef2a2e041c.jpg,"Two boys , one with a yellow and orange ball , play in some water in front of a field ."
1056249424_ef2a2e041c.jpg,Two boys play in a puddle .
1056249424_ef2a2e041c.jpg,Two children play with a balloon in mud on a sunny day .
1056249424_ef2a2e041c.jpg,Two kids are running and playing in some water .
1056338697_4f7d7ce270.jpg,A blond woman in a blue shirt appears to wait for a ride .
1056338697_4f7d7ce270.jpg,A blond woman is on the street hailing a taxi .
1056338697_4f7d7ce270.jpg,"A woman is signaling is to traffic , as seen from behind ."
1056338697_4f7d7ce270.jpg,A woman with blonde hair wearing a blue tube top is waving on the side of the street .
1056338697_4f7d7ce270.jpg,The woman in the blue dress is holding out her arm at oncoming traffic .
1056359656_662cee0814.jpg,A little girl looking at a brochure on train rides
1056359656_662cee0814.jpg,a young blond girl with a magizine in her hands
1056359656_662cee0814.jpg,A young girl on a train reads a book about train rides .
1056359656_662cee0814.jpg,A young girl sits on a seat and looks at a train pamphlet .
1056359656_662cee0814.jpg,Child sitting down looking at train ride brochure
1056873310_49c665eb22.jpg,A brown dog is running after a black dog on a rocky shore .
1056873310_49c665eb22.jpg,A brown dog is running after the black dog .
1056873310_49c665eb22.jpg,Two dogs playing on a beach .
1056873310_49c665eb22.jpg,Two dogs run across stones near a body of water .
1056873310_49c665eb22.jpg,Two dogs run towards each other on a rocky area with water in the background .
1057089366_ca83da0877.jpg,A boy descends off the end of a high diving board .
1057089366_ca83da0877.jpg,A child jumps off a high diving board into the pool .
1057089366_ca83da0877.jpg,A kid jumps off the diving board and into the swimming pool below .
1057089366_ca83da0877.jpg,A little kid is jumping off a high dive at the pool .
1057089366_ca83da0877.jpg,The boy is jumping off a high diving board into the pool .
1057210460_09c6f4c6c1.jpg,A guy stands by a window taking his overshirt off .
1057210460_09c6f4c6c1.jpg,A man in a tank top stands next to a chrome door .
1057210460_09c6f4c6c1.jpg,A man puts his shirt on near an elevator .
1057210460_09c6f4c6c1.jpg,A man stands by an elevator with his head down .
